location_flag	canonical_map	map_variants	item_lot_ids	display_items	classification	mvp_candidate	placement_count	event_names	coordinates
50002200	m24_01_00_00	m24_01_00_00;m24_01_00_01;m24_01_00_11	42000	White Messenger Ribbon x1	key_or_badge	True	3	Item_宝死体_910　少女の姉	-178.66,-46.45,-63.04
50002360	m36_00_00_00	m36_00_00_00	43221	Underground Cell Inner Chamber Key x1	key_or_badge	True	1	宝死体_地下牢の鍵	-644.2,1614.6,-874.2
52100000	m21_00_00_00	m21_00_00_00	2100000	Pebble x1	filler	False	1	宝死体_01	3,-6.23,-17
52110000	m21_01_00_00	m21_01_00_00	2110000	Old Hunter Bone x1	useful	True	1	宝00	
52110010	m21_01_00_00	m21_01_00_00	2110010	Gehrman's Hunter Cap x1	useful	True	1	宝01	102.7,-25.87,141.2
52110020	m21_01_00_00	m21_01_00_00	2110020	Doll Hat x1	useful	True	1	宝箱00	128.5,-24.61,152.5
52200100	m22_00_00_00	m22_00_00_00	2200100	Pebble x4	filler	False	1	Item_宝死体00	-77.788,-6.19,431.505
52200110	m22_00_00_00	m22_00_00_00	2200110	Twin Blood Stone Shards x1	filler	False	1	Item_宝死体01	-93.711006,-4.295,447.798
52200120	m22_00_00_00	m22_00_00_00	2200120	Twin Blood Stone Shards x2	filler	False	1	Item_宝死体02	-205.564,-30.434,516.178
52200130	m22_00_00_00	m22_00_00_00	2200130	Thick Coldblood (4) x1	filler	False	1	Item_宝死体03	-248.793,-24.98,510.449
52200140	m22_00_00_00	m22_00_00_00	2200140	Twin Blood Stone Shards x2	filler	False	1	Item_宝死体04	-257.6,-14.834,538.6
52200150	m22_00_00_00	m22_00_00_00	2200150	Blood Vial x2	filler	False	1	Item_宝死体05	-262.018,-10.24,542.956
52200160	m22_00_00_00	m22_00_00_00	2200160	Bone Marrow Ash x8	filler	False	1	Item_宝死体06	-278.864,-10.223999,625.598
52200170	m22_00_00_00	m22_00_00_00	2200170	Bone Marrow Ash x8	filler	False	1	Item_宝死体07	-197.6,-20.749,563.2
52200180	m22_00_00_00	m22_00_00_00	2200180	Bloodshot Eyeball x1	filler	False	1	Item_宝死体08	-240.81,-3.04,628.47
52200190	m22_00_00_00	m22_00_00_00	2200190	unknown x1	optional	False	1	Item_宝死体09	-206.65001,-6.26,600.83
52200200	m22_00_00_00	m22_00_00_00	2200200	Madman's Knowledge x1	filler	False	1	Item_宝死体10	-206.03,-5.69,590.57
52200210	m22_00_00_00	m22_00_00_00	2200210	Coldblood Dew (3) x1	filler	False	1	Item_宝死体11	-282.66602,-2.290999,653.427
52200220	m22_00_00_00	m22_00_00_00	2200220	Twin Blood Stone Shards x2	filler	False	1	Item_宝死体12	-257,-1.933,629.8
52200230	m22_00_00_00	m22_00_00_00	2200230	Quicksilver Bullets x4	filler	False	1	Item_宝死体13	-257.91,-7.059999,587.9
52200240	m22_00_00_00	m22_00_00_00	2200240	Thick Coldblood (4) x1	filler	False	1	Item_宝死体14	-277.25,-9.375999,588.109
52200250	m22_00_00_00	m22_00_00_00	2200250	Quicksilver Bullets x4	filler	False	1	Item_宝死体15	-214.75,-20.793999,556.122
52200260	m22_00_00_00	m22_00_00_00	2200260	Throwing Knife x3	filler	False	1	Item_宝死体16	-284.738,-9.204,643.50903
52200270	m22_00_00_00	m22_00_00_00	2200270	Thick Coldblood (4) x1	filler	False	1	Item_宝死体17	-305.675,-9.493999,654.226
52200280	m22_00_00_00	m22_00_00_00	2200280	unknown x1	optional	False	1	Item_宝箱00(旧宝死体18)	-318.3,0.403001,631.88
52200290	m22_00_00_00	m22_00_00_00	2200290	Madman's Knowledge x1	filler	False	1	Item_宝死体19	-335.8158,12.622,672.68146
52200300	m22_00_00_00	m22_00_00_00	2200300	Pebble x4	filler	False	1	Item_宝死体20	-223,-20.43,547.16003
52200310	m22_00_00_00	m22_00_00_00	2200310	Quicksilver Bullets x4	filler	False	1	Item_宝死体21	-173.85,-21.43,497.48
52200320	m22_00_00_00	m22_00_00_00	2200320	Thick Coldblood (4) x1	filler	False	1	Item_宝死体22	-42.78,-2.936999,424.594
