location_flag	item_lot_id	slot	category	category_name	item_param_id	english_name	quantity	normalized_runtime_id	classification	classification_reason
50002200	42000	01	4	goods	4903	White Messenger Ribbon	1	0x40001327	key_or_badge	goods_type_1_requires_logic_review
50002360	43221	01	4	goods	4015	Underground Cell Inner Chamber Key	1	0x40000FAF	key_or_badge	goods_type_1_requires_logic_review
52100000	2100000	01	4	goods	1230	Pebble	1	0x400004CE	filler	consumable_or_material
52110000	2110000	01	4	goods	2060	Old Hunter Bone	1	0x4000080C	useful	unique_goods_or_hunter_tool
52110010	2110010	01	1	armor	200000	Gehrman's Hunter Cap	1		useful	armor
52110020	2110020	01	1	armor	220000	Doll Hat	1		useful	armor
52200100	2200100	01	4	goods	1230	Pebble	4	0x400004CE	filler	consumable_or_material
52200110	2200110	01	4	goods	3010	Twin Blood Stone Shards	1	0x40000BC2	filler	consumable_or_material
52200120	2200120	01	4	goods	3010	Twin Blood Stone Shards	2	0x40000BC2	filler	consumable_or_material
52200130	2200130	01	4	goods	1513	Thick Coldblood (4)	1	0x400005E9	filler	consumable_or_material
52200140	2200140	01	4	goods	3010	Twin Blood Stone Shards	2	0x40000BC2	filler	consumable_or_material
52200150	2200150	01	4	goods	1000	Blood Vial	2	0x400003E8	filler	consumable_or_material
52200160	2200160	01	4	goods	1330	Bone Marrow Ash	8	0x40000532	filler	consumable_or_material
52200170	2200170	01	4	goods	1330	Bone Marrow Ash	8	0x40000532	filler	consumable_or_material
52200180	2200180	01	4	goods	7150	Bloodshot Eyeball	1	0x40001BEE	filler	consumable_or_material
52200190	2200190	01	8	gem	122000		1		optional	generated_blood_gem
52200200	2200200	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52200210	2200210	01	4	goods	1512	Coldblood Dew (3)	1	0x400005E8	filler	consumable_or_material
52200220	2200220	01	4	goods	3010	Twin Blood Stone Shards	2	0x40000BC2	filler	consumable_or_material
52200230	2200230	01	4	goods	900	Quicksilver Bullets	4	0x40000384	filler	consumable_or_material
52200240	2200240	01	4	goods	1513	Thick Coldblood (4)	1	0x400005E9	filler	consumable_or_material
52200250	2200250	01	4	goods	900	Quicksilver Bullets	4	0x40000384	filler	consumable_or_material
52200260	2200260	01	4	goods	1240	Throwing Knife	3	0x400004D8	filler	consumable_or_material
52200270	2200270	01	4	goods	1513	Thick Coldblood (4)	1	0x400005E9	filler	consumable_or_material
52200280	2200280	01	8	gem	122001		1		optional	generated_blood_gem
52200290	2200290	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52200300	2200300	01	4	goods	1230	Pebble	4	0x400004CE	filler	consumable_or_material
52200310	2200310	01	4	goods	900	Quicksilver Bullets	4	0x40000384	filler	consumable_or_material
52200320	2200320	01	4	goods	1513	Thick Coldblood (4)	1	0x400005E9	filler	consumable_or_material
52200330	2200330	01	4	goods	1330	Bone Marrow Ash	9	0x40000532	filler	consumable_or_material
52200340	2200340	01	4	goods	1513	Thick Coldblood (4)	1	0x400005E9	filler	consumable_or_material
52200350	2200350	01	4	goods	1000	Blood Vial	2	0x400003E8	filler	consumable_or_material
52200360	2200360	01	4	goods	4104	Rune Workshop Tool	1	0x40001008	key_or_badge	goods_type_1_requires_logic_review
52200365	2200365	01	4	goods	1591	Kin Coldblood (12)	1	0x40000637	filler	consumable_or_material
52200370	2200370	01	4	goods	7150	Bloodshot Eyeball	1	0x40001BEE	filler	consumable_or_material
52200380	2200380	01	8	caryll_rune	101701	Lake (+3%)	1		optional	fixed_caryll_rune_vanilla_only
52200385	2200385	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52200390	2200390	01	4	goods	1500	Madman's Knowledge	1	0x400005DC	filler	consumable_or_material
52200400	2200400	01	4	goods	1200	Molotov Cocktail	5	0x400004B0	filler	consumable_or_material
52300000	2300000	01	4	goods	1100	Antidote	1	0x4000044C	filler	consumable_or_material
52300010	2300010	01	4	goods	3000	Blood Stone Shard	2	0x40000BB8	filler	consumable_or_material
52300020	2300020	01	4	goods	3000	Blood Stone Shard	1	0x40000BB8	filler	consumable_or_material
52300030	2300030	01	4	goods	1300	Fire Paper	2	0x40000514	filler	consumable_or_material
52300040	2300040	01	8	gem	123000		1		optional	generated_blood_gem
52300050	2300050	01	4	goods	1512	Coldblood Dew (3)	1	0x400005E8	filler	consumable_or_material
52300060	2300060	01	4	goods	3000	Blood Stone Shard	2	0x40000BB8	filler	consumable_or_material
52300070	2300070	01	4	goods	4907	Bloody Messenger Head Bandage	1	0x4000132B	key_or_badge	goods_type_1_requires_logic_review
52300080	2300080	01	4	goods	1511	Coldblood Dew (2)	1	0x400005E7	filler	consumable_or_material
