map_name	part_name	logical_key	entity_id	code_lines	comment_lines	parsed_operation_uses	operations	usage_classes	collides_item_lot_id	collides_acquisition_flag	source_lines
m21_00_00_00	c5400_0000	m21_00_00_00:c5400_0000	2100810	46	0	49	AdaptHpchangingSpEffectToNPCPartOfTarget:2;ChangeCharacterEnableState:6;CharacterBackreadStatus:1;CharacterDead:1;CharacterHasEventMessage:3;ClearSpEffect:2;CreateNPCPart:2;DisplayBossHealthBar:1;EntityInRadiusOfEntity:2;ForceAnimationPlayback:1;HPRatio:4;HandleBossDefeat:1;HasDamageType:1;NPCPartHP:1;RequestCharacterAICommand:2;RequestCharacterAIReplan:3;RequestCharacterAnimationReset:1;SetCharacterAIState:2;SetCharacterBackreadState:2;SetCharacterHPBarDisplay:1;SetCharacterInvincibility:2;SetNPCPartHP:1;SetNPCPartSEAndSFX:2;SetNetworkUpdateAuthority:1;SetSpEffect:4	character_operation:38;other_operation:6;presentation_operation:3;spatial_operation:2	False	False	m21_00_00_00.emevd.dcx.js:313;m21_00_00_00.emevd.dcx.js:428;m21_00_00_00.emevd.dcx.js:1385;m21_00_00_00.emevd.dcx.js:1400;m21_00_00_00.emevd.dcx.js:1410;m21_00_00_00.emevd.dcx.js:1414;m21_00_00_00.emevd.dcx.js:1672;m21_00_00_00.emevd.dcx.js:1677;m21_00_00_00.emevd.dcx.js:1700;m21_00_00_00.emevd.dcx.js:1754;m21_00_00_00.emevd.dcx.js:1769;m21_00_00_00.emevd.dcx.js:1822;m21_00_00_00.emevd.dcx.js:1823;m21_00_00_00.emevd.dcx.js:1824;m21_00_00_00.emevd.dcx.js:1829;m21_00_00_00.emevd.dcx.js:1840;m21_00_00_00.emevd.dcx.js:1842;m21_00_00_00.emevd.dcx.js:1845;m21_00_00_00.emevd.dcx.js:1847;m21_00_00_00.emevd.dcx.js:1850;m21_00_00_00.emevd.dcx.js:1851;m21_00_00_00.emevd.dcx.js:1852;m21_00_00_00.emevd.dcx.js:1873;m21_00_00_00.emevd.dcx.js:1889;m21_00_00_00.emevd.dcx.js:1891;m21_00_00_00.emevd.dcx.js:1909;m21_00_00_00.emevd.dcx.js:1910;m21_00_00_00.emevd.dcx.js:1911;m21_00_00_00.emevd.dcx.js:1912;m21_00_00_00.emevd.dcx.js:1915;m21_00_00_00.emevd.dcx.js:1916;m21_00_00_00.emevd.dcx.js:1917;m21_00_00_00.emevd.dcx.js:1918;m21_00_00_00.emevd.dcx.js:1919;m21_00_00_00.emevd.dcx.js:1920;m21_00_00_00.emevd.dcx.js:1921;m21_00_00_00.emevd.dcx.js:1923;m21_00_00_00.emevd.dcx.js:1924;m21_00_00_00.emevd.dcx.js:1925;m21_00_00_00.emevd.dcx.js:1926;m21_00_00_00.emevd.dcx.js:1927;m21_00_00_00.emevd.dcx.js:1928;m21_00_00_00.emevd.dcx.js:1929;m21_00_00_00.emevd.dcx.js:1930;m21_00_00_00.emevd.dcx.js:1938;m21_00_00_00.emevd.dcx.js:1943
m21_00_00_00	c8030_0000	m21_00_00_00:c8030_0000	2100700	54	0	54	CharacterDead:1;CharacterHasSpEffect:8;EntityInRadiusOfEntity:7;ForceAnimationPlayback:7;ForceCharacterTreasure:4;HPRatio:2;IssueShortWarpRequest:8;RotateCharacter:16;SetNetworkUpdateRate:1	character_operation:31;other_operation:9;presentation_operation:7;spatial_operation:7	False	False	m21_00_00_00.emevd.dcx.js:24;m21_00_00_00.emevd.dcx.js:570;m21_00_00_00.emevd.dcx.js:607;m21_00_00_00.emevd.dcx.js:608;m21_00_00_00.emevd.dcx.js:612;m21_00_00_00.emevd.dcx.js:613;m21_00_00_00.emevd.dcx.js:621;m21_00_00_00.emevd.dcx.js:622;m21_00_00_00.emevd.dcx.js:629;m21_00_00_00.emevd.dcx.js:630;m21_00_00_00.emevd.dcx.js:633;m21_00_00_00.emevd.dcx.js:634;m21_00_00_00.emevd.dcx.js:637;m21_00_00_00.emevd.dcx.js:638;m21_00_00_00.emevd.dcx.js:641;m21_00_00_00.emevd.dcx.js:642;m21_00_00_00.emevd.dcx.js:649;m21_00_00_00.emevd.dcx.js:650;m21_00_00_00.emevd.dcx.js:680;m21_00_00_00.emevd.dcx.js:681;m21_00_00_00.emevd.dcx.js:683;m21_00_00_00.emevd.dcx.js:687;m21_00_00_00.emevd.dcx.js:697;m21_00_00_00.emevd.dcx.js:698;m21_00_00_00.emevd.dcx.js:700;m21_00_00_00.emevd.dcx.js:704;m21_00_00_00.emevd.dcx.js:714;m21_00_00_00.emevd.dcx.js:715;m21_00_00_00.emevd.dcx.js:717;m21_00_00_00.emevd.dcx.js:720;m21_00_00_00.emevd.dcx.js:736;m21_00_00_00.emevd.dcx.js:742;m21_00_00_00.emevd.dcx.js:746;m21_00_00_00.emevd.dcx.js:748;m21_00_00_00.emevd.dcx.js:769;m21_00_00_00.emevd.dcx.js:770;m21_00_00_00.emevd.dcx.js:771;m21_00_00_00.emevd.dcx.js:772;m21_00_00_00.emevd.dcx.js:774;m21_00_00_00.emevd.dcx.js:775;m21_00_00_00.emevd.dcx.js:789;m21_00_00_00.emevd.dcx.js:790;m21_00_00_00.emevd.dcx.js:795;m21_00_00_00.emevd.dcx.js:796;m21_00_00_00.emevd.dcx.js:801;m21_00_00_00.emevd.dcx.js:802;m21_00_00_00.emevd.dcx.js:817;m21_00_00_00.emevd.dcx.js:823;m21_00_00_00.emevd.dcx.js:828;m21_00_00_00.emevd.dcx.js:833;m21_00_00_00.emevd.dcx.js:835;m21_00_00_00.emevd.dcx.js:859;m21_00_00_00.emevd.dcx.js:860;m21_00_00_00.emevd.dcx.js:3197
m21_00_00_00	c8040_0000	m21_00_00_00:c8040_0000	2100600	21	0	21	ChangeCharacterEnableState:7;CharacterBackreadStatus:1;CharacterHasEventMessage:1;ForceAnimationPlayback:6;IssueShortWarpRequest:5;SetCharacterHPBarDisplay:1	character_operation:10;other_operation:5;presentation_operation:6	False	False	m21_00_00_00.emevd.dcx.js:258;m21_00_00_00.emevd.dcx.js:924;m21_00_00_00.emevd.dcx.js:937;m21_00_00_00.emevd.dcx.js:941;m21_00_00_00.emevd.dcx.js:944;m21_00_00_00.emevd.dcx.js:945;m21_00_00_00.emevd.dcx.js:948;m21_00_00_00.emevd.dcx.js:961;m21_00_00_00.emevd.dcx.js:962;m21_00_00_00.emevd.dcx.js:963;m21_00_00_00.emevd.dcx.js:972;m21_00_00_00.emevd.dcx.js:973;m21_00_00_00.emevd.dcx.js:974;m21_00_00_00.emevd.dcx.js:983;m21_00_00_00.emevd.dcx.js:984;m21_00_00_00.emevd.dcx.js:985;m21_00_00_00.emevd.dcx.js:1015;m21_00_00_00.emevd.dcx.js:1041;m21_00_00_00.emevd.dcx.js:1043;m21_00_00_00.emevd.dcx.js:1489;m21_00_00_00.emevd.dcx.js:1502
m21_00_00_00	c8050_0000	m21_00_00_00:c8050_0000	2100800	44	0	47	ActionButtonInArea:4;AdaptHpchangingSpEffectToNPCPartOfTarget:2;ChangeCharacterEnableState:7;CharacterBackreadStatus:1;CharacterDead:1;CharacterHasEventMessage:3;ClearSpEffect:2;DisplayBossHealthBar:1;EntityInRadiusOfEntity:2;HPRatio:5;HandleBossDefeat:1;HandleMinibossDefeat:1;RequestCharacterAICommand:3;RequestCharacterAIReplan:1;SetCharacterAIState:2;SetCharacterBackreadState:2;SetCharacterEventTarget:1;SetCharacterHPBarDisplay:1;SetCharacterInvincibility:2;SetDistanceLimitForConversationStateProcessing:2;SetNetworkUpdateAuthority:1;SetSpEffect:2	character_operation:38;other_operation:1;spatial_operation:8	False	False	m21_00_00_00.emevd.dcx.js:312;m21_00_00_00.emevd.dcx.js:427;m21_00_00_00.emevd.dcx.js:913;m21_00_00_00.emevd.dcx.js:915;m21_00_00_00.emevd.dcx.js:1386;m21_00_00_00.emevd.dcx.js:1395;m21_00_00_00.emevd.dcx.js:1401;m21_00_00_00.emevd.dcx.js:1415;m21_00_00_00.emevd.dcx.js:1431;m21_00_00_00.emevd.dcx.js:1433;m21_00_00_00.emevd.dcx.js:1438;m21_00_00_00.emevd.dcx.js:1440;m21_00_00_00.emevd.dcx.js:1471;m21_00_00_00.emevd.dcx.js:1480;m21_00_00_00.emevd.dcx.js:1488;m21_00_00_00.emevd.dcx.js:1501;m21_00_00_00.emevd.dcx.js:1518;m21_00_00_00.emevd.dcx.js:1541;m21_00_00_00.emevd.dcx.js:1555;m21_00_00_00.emevd.dcx.js:1556;m21_00_00_00.emevd.dcx.js:1557;m21_00_00_00.emevd.dcx.js:1562;m21_00_00_00.emevd.dcx.js:1573;m21_00_00_00.emevd.dcx.js:1575;m21_00_00_00.emevd.dcx.js:1578;m21_00_00_00.emevd.dcx.js:1580;m21_00_00_00.emevd.dcx.js:1583;m21_00_00_00.emevd.dcx.js:1584;m21_00_00_00.emevd.dcx.js:1585;m21_00_00_00.emevd.dcx.js:1586;m21_00_00_00.emevd.dcx.js:1607;m21_00_00_00.emevd.dcx.js:1625;m21_00_00_00.emevd.dcx.js:1627;m21_00_00_00.emevd.dcx.js:1645;m21_00_00_00.emevd.dcx.js:1646;m21_00_00_00.emevd.dcx.js:1647;m21_00_00_00.emevd.dcx.js:1648;m21_00_00_00.emevd.dcx.js:1649;m21_00_00_00.emevd.dcx.js:1650;m21_00_00_00.emevd.dcx.js:1652;m21_00_00_00.emevd.dcx.js:1658;m21_00_00_00.emevd.dcx.js:1659;m21_00_00_00.emevd.dcx.js:1785;m21_00_00_00.emevd.dcx.js:1808
m21_00_00_00	c9010_0000	m21_00_00_00:c9010_0000	2100200	3	0	3	SetCharacterAnimationState:1;SetCharacterGravity:1;SetCharacterMaphits:1	character_operation:3	False	False	m21_00_00_00.emevd.dcx.js:342;m21_00_00_00.emevd.dcx.js:370;m21_00_00_00.emevd.dcx.js:398
m21_00_00_00	c9010_0001	m21_00_00_00:c9010_0001	2100201	3	0	3	SetCharacterAnimationState:1;SetCharacterGravity:1;SetCharacterMaphits:1	character_operation:3	False	False	m21_00_00_00.emevd.dcx.js:343;m21_00_00_00.emevd.dcx.js:371;m21_00_00_00.emevd.dcx.js:399
m21_00_00_00	c9010_0003	m21_00_00_00:c9010_0003	2100203	3	0	3	SetCharacterAnimationState:1;SetCharacterGravity:1;SetCharacterMaphits:1	character_operation:3	False	False	m21_00_00_00.emevd.dcx.js:345;m21_00_00_00.emevd.dcx.js:373;m21_00_00_00.emevd.dcx.js:401
m21_00_00_00	c9010_0004	m21_00_00_00:c9010_0004	2100801	1	0	1	SetCharacterEventTarget:1	character_operation:1	False	False	m21_00_00_00.emevd.dcx.js:1586
m21_00_00_00	c9020_0000	m21_00_00_00:c9020_0000	2100950	16	0	31	$InitializeEvent:argument:13;SetCharacterAnimationState:1;SetCharacterGravity:1;SetCharacterMaphits:1;resolved/ForceAnimationPlayback:3;resolved/RotateCharacter:12	character_operation:15;event_argument:13;presentation_operation:3	False	False	m21_00_00_00.emevd.dcx.js:83;m21_00_00_00.emevd.dcx.js:84;m21_00_00_00.emevd.dcx.js:85;m21_00_00_00.emevd.dcx.js:86;m21_00_00_00.emevd.dcx.js:87;m21_00_00_00.emevd.dcx.js:88;m21_00_00_00.emevd.dcx.js:89;m21_00_00_00.emevd.dcx.js:90;m21_00_00_00.emevd.dcx.js:91;m21_00_00_00.emevd.dcx.js:92;m21_00_00_00.emevd.dcx.js:93;m21_00_00_00.emevd.dcx.js:94;m21_00_00_00.emevd.dcx.js:199;m21_00_00_00.emevd.dcx.js:359;m21_00_00_00.emevd.dcx.js:387;m21_00_00_00.emevd.dcx.js:415
m21_00_00_00	c9020_0001	m21_00_00_00:c9020_0001	2100951	10	0	19	$InitializeEvent:argument:7;SetCharacterAnimationState:1;SetCharacterGravity:1;SetCharacterMaphits:1;resolved/ForceAnimationPlayback:3;resolved/RotateCharacter:6	character_operation:9;event_argument:7;presentation_operation:3	False	False	m21_00_00_00.emevd.dcx.js:81;m21_00_00_00.emevd.dcx.js:82;m21_00_00_00.emevd.dcx.js:102;m21_00_00_00.emevd.dcx.js:103;m21_00_00_00.emevd.dcx.js:108;m21_00_00_00.emevd.dcx.js:110;m21_00_00_00.emevd.dcx.js:200;m21_00_00_00.emevd.dcx.js:360;m21_00_00_00.emevd.dcx.js:388;m21_00_00_00.emevd.dcx.js:416
