map	level	evidence	status
m21_00_00_00	13	hub / final-boss 7413 area family	reviewed
m22_00_00_00	5	graveyard 7405 area family	reviewed
m23_00_00_00	2	ruins 7402 area family	reviewed
m24_00_00_00	4	Cathedral C first-half 7404 baseline; multi-phase map	conservative
m24_01_00_00	1	Cathedral B / start 7401 area family	reviewed
m25_00_00_00	9	old castle 7409 area family	reviewed
m26_00_00_00	12	nightmare-host 7412 area family	reviewed
m27_00_00_00	6	forest 7406 area family	reviewed
m28_00_00_00	10	sacrifice village 7410 area family	reviewed
m32_00_00_00	8	university 7408 area family	reviewed
m33_00_00_00	12	trap-road / nightmare 7412 area family	reviewed
m34_00_00_00	11	DLC Cathedral D 7490 area family	reviewed
m35_00_00_00	12	DLC clocktower 7492 area family	reviewed
m36_00_00_00	13	DLC fishing hamlet 7495 area family	reviewed
