map_path	map_name	part_name	part_entity_id	npc_param_id	npc_name	talk_id	x	y	z	drop_field	item_lot_id	lot_name
m22_00_00_00.msb	m22_00_00_00	c1051_0000	2200710	105220	さまよう寡婦（侵入PC召喚）　墓地街	0	-205.2	-6.4	593	itemLotId_1	10522000	さまよう寡婦（侵入PC召喚）　墓地街
m22_00_00_00.msb	m22_00_00_00	c1140_0000	2200261	114000	狂信者の獣　墓地街	0	-254.58813	-2.133307	619.93567	itemLotId_1	11402200	狂信者の獣　墓地街
m22_00_00_00.msb	m22_00_00_00	c1140_0001	2200223	114000	狂信者の獣　墓地街	0	-261.57855	-22.432999	521.24554	itemLotId_1	11402200	狂信者の獣　墓地街
m22_00_00_00.msb	m22_00_00_00	c1140_0002	2200150	114000	狂信者の獣　墓地街	0	-220.341	-9.424	609.421	itemLotId_1	11402200	狂信者の獣　墓地街
m22_00_00_00.msb	m22_00_00_00	c1140_0003	2200335	114000	狂信者の獣　墓地街	0	-294.399	-11.334999	648.02	itemLotId_1	11402200	狂信者の獣　墓地街
m22_00_00_00.msb	m22_00_00_00	c1140_0004	2200330	114000	狂信者の獣　墓地街	0	-289.45	-11.36	634.6	itemLotId_1	11402200	狂信者の獣　墓地街
m22_00_00_00.msb	m22_00_00_00	c1140_0005	2200331	114000	狂信者の獣　墓地街	0	-289.4	-11.32	628.5	itemLotId_1	11402200	狂信者の獣　墓地街
m22_00_00_00.msb	m22_00_00_00	c1140_0006	2200332	114000	狂信者の獣　墓地街	0	-276.8	-7.48	634	itemLotId_1	11402200	狂信者の獣　墓地街
m22_00_00_00.msb	m22_00_00_00	c1140_0007	2200333	114000	狂信者の獣　墓地街	0	-280.028	-10.554	624.98	itemLotId_1	11402200	狂信者の獣　墓地街
m22_00_00_00.msb	m22_00_00_00	c1140_0008	2200334	114000	狂信者の獣　墓地街	0	-279.746	-10.568999	626.5	itemLotId_1	11402200	狂信者の獣　墓地街
m22_00_00_00.msb	m22_00_00_00	c1140_0009	2200460	114000	狂信者の獣　墓地街	0	-72.719	-4.771999	397.913	itemLotId_1	11402200	狂信者の獣　墓地街
m22_00_00_00.msb	m22_00_00_00	c1140_0010	2200291	114000	狂信者の獣　墓地街	0	-120.48745	-9.378278	439.90494	itemLotId_1	11402200	狂信者の獣　墓地街
m22_00_00_00.msb	m22_00_00_00	c1140_0011	2200161	114000	狂信者の獣　墓地街	0	-107.15501	-3.085441	412.768	itemLotId_1	11402200	狂信者の獣　墓地街
m22_00_00_00.msb	m22_00_00_00	c1140_0014	2200160	114000	狂信者の獣　墓地街	0	-98.818	-3.839	407.012	itemLotId_1	11402200	狂信者の獣　墓地街
