map_path	map_name	event_name	event_id	event_entity_id	treasure_part_name	part_entity_id	x	y	z	lot_field	item_lot_id	lot_name	acquisition_flags
m21_00_00_00.msb	m21_00_00_00	宝死体_01	65	-1	o000611_0000	-1	3	-6.23	-17	item_lot_1	2100000	アイテム使用チュートリアル	52100000
m21_01_00_00.msb	m21_01_00_00	宝00	7	-1						item_lot_1	2110000	宝死体00	52110000
m21_01_00_00.msb	m21_01_00_00	宝01	24	-1	o000613_0001	-1	102.7	-25.87	141.2	item_lot_1	2110010	宝死体01	52110010
m21_01_00_00.msb	m21_01_00_00	宝箱00	45	-1	o002000_0000	2111000	128.5	-24.61	152.5	item_lot_1	2110020	宝箱00	52110020
m22_00_00_00.msb	m22_00_00_00	Item_宝死体00	3	-1	o000613_0000	-1	-77.788	-6.19	431.505	item_lot_1	2200100	宝死体00	52200100
m22_00_00_00.msb	m22_00_00_00	Item_宝死体01	4	-1	o000610_0000	-1	-93.711006	-4.295	447.798	item_lot_1	2200110	宝死体01	52200110
m22_00_00_00.msb	m22_00_00_00	Item_宝死体02	5	-1	o000613_0010	-1	-205.564	-30.434	516.178	item_lot_1	2200120	宝死体02	52200120
m22_00_00_00.msb	m22_00_00_00	Item_宝死体03	6	-1	o000613_0014	-1	-248.793	-24.98	510.449	item_lot_1	2200130	宝死体03	52200130
m22_00_00_00.msb	m22_00_00_00	Item_宝死体04	7	-1	o000613_0011	-1	-257.6	-14.834	538.6	item_lot_1	2200140	宝死体04	52200140
m22_00_00_00.msb	m22_00_00_00	Item_宝死体05	8	-1	o000613_0001	-1	-262.018	-10.24	542.956	item_lot_1	2200150	宝死体05	52200150
m22_00_00_00.msb	m22_00_00_00	Item_宝死体06	9	-1	o000610_0005	-1	-278.864	-10.223999	625.598	item_lot_1	2200160	宝死体06	52200160
m22_00_00_00.msb	m22_00_00_00	Item_宝死体07	52	-1	o000610_0002	-1	-197.6	-20.749	563.2	item_lot_1	2200170	宝死体07	52200170
m22_00_00_00.msb	m22_00_00_00	Item_宝死体08	80	-1	o000613_0008	-1	-240.81	-3.04	628.47	item_lot_1	2200180	宝死体08	52200180
m22_00_00_00.msb	m22_00_00_00	Item_宝死体09	199	-1	o000611_0001	-1	-206.65001	-6.26	600.83	item_lot_1	2200190	宝死体09	52200190
m22_00_00_00.msb	m22_00_00_00	Item_宝死体10	200	-1	o000612_0000	-1	-206.03	-5.69	590.57	item_lot_1	2200200	宝死体10_1	52200200
m22_00_00_00.msb	m22_00_00_00	Item_宝死体11	201	-1	o000613_0002	-1	-282.66602	-2.290999	653.427	item_lot_1	2200210	宝死体11	52200210
m22_00_00_00.msb	m22_00_00_00	Item_宝死体12	202	-1	o000610_0004	-1	-257	-1.933	629.8	item_lot_1	2200220	宝死体12	52200220
m22_00_00_00.msb	m22_00_00_00	Item_宝死体13	22	-1	o000613_0003	-1	-257.91	-7.059999	587.9	item_lot_1	2200230	宝死体13	52200230
m22_00_00_00.msb	m22_00_00_00	Item_宝死体14	53	-1	o000613_0009	-1	-277.25	-9.375999	588.109	item_lot_1	2200240	宝死体14	52200240
m22_00_00_00.msb	m22_00_00_00	Item_宝死体15	56	-1	o000610_0007	-1	-214.75	-20.793999	556.122	item_lot_1	2200250	宝死体15	52200250
m22_00_00_00.msb	m22_00_00_00	Item_宝死体16	59	-1	o000613_0007	-1	-284.738	-9.204	643.50903	item_lot_1	2200260	宝死体16	52200260
m22_00_00_00.msb	m22_00_00_00	Item_宝死体17	60	-1	o000613_0004	-1	-305.675	-9.493999	654.226	item_lot_1	2200270	宝死体17	52200270
m22_00_00_00.msb	m22_00_00_00	Item_宝死体19	97	-1	o000613_0012	-1	-335.8158	12.622	672.68146	item_lot_1	2200290	宝死体19	52200290
m22_00_00_00.msb	m22_00_00_00	Item_宝死体20	102	-1	o000613_0005	-1	-223	-20.43	547.16003	item_lot_1	2200300	宝死体20	52200300
m22_00_00_00.msb	m22_00_00_00	Item_宝死体21	221	-1	o000613_0013	-1	-173.85	-21.43	497.48	item_lot_1	2200310	宝死体21	52200310
m22_00_00_00.msb	m22_00_00_00	Item_宝死体22	306	-1	o000613_0015	-1	-42.78	-2.936999	424.594	item_lot_1	2200320	宝死体22	52200320
m22_00_00_00.msb	m22_00_00_00	Item_宝死体23	307	-1	o000613_0016	-1	-44.100006	-3.363999	420.35	item_lot_1	2200330	宝死体23	52200330
m22_00_00_00.msb	m22_00_00_00	Item_宝死体24	308	-1	o000613_0017	-1	-44.932007	-3.36	424.226	item_lot_1	2200340	宝死体24	52200340
m22_00_00_00.msb	m22_00_00_00	Item_宝死体25	311	-1	o000613_0018	-1	-267.753	-1.891	651.567	item_lot_1	2200350	宝死体25	52200350
m22_00_00_00.msb	m22_00_00_00	Item_宝死体26	314	-1	o000620_0000	2201150	-336.307	-4.778	780.652	item_lot_1	2200360	宝死体26	52200360
m22_00_00_00.msb	m22_00_00_00	Item_宝死体26（前の周で取得済み時）	72	-1	o000620_0001	2201151	-336.307	-4.778	780.652	item_lot_1	2200365	宝死体26(前の周で取得済みの場合）	52200365
m22_00_00_00.msb	m22_00_00_00	Item_宝死体27	313	-1	o000611_0000	-1	-218.134	-31.387	500.668	item_lot_1	2200370	宝死体27	52200370
m22_00_00_00.msb	m22_00_00_00	Item_宝死体28	316	-1	o000612_0001	2201500	-298.743	-11.333	676.508	item_lot_1	2200380	宝死体28	52200380
m22_00_00_00.msb	m22_00_00_00	Item_宝死体28(差し替え用）	62	-1	o000612_0002	2201501	-298.743	-11.333	676.508	item_lot_1	2200385	宝死体28（差し替え用）	52200385
m22_00_00_00.msb	m22_00_00_00	Item_宝死体29	317	-1	o000613_0019	-1	-200.845	-29.073	534.863	item_lot_1	2200390	宝死体29	52200390
m22_00_00_00.msb	m22_00_00_00	Item_宝死体30	318	-1	o000613_0020	-1	-215.73001	-6.154	602.822	item_lot_1	2200400	宝死体30	52200400
m22_00_00_00.msb	m22_00_00_00	Item_宝箱00(旧宝死体18)	2	-1	o002100_0000	2201050	-318.3	0.403001	631.88	item_lot_1	2200280	宝箱00	52200280
m23_00_00_00.msb	m23_00_00_00	Item_宝死体00	10	-1	o000613_0001	-1	88.05	-70.009995	19.76	item_lot_1	2300000	宝死体00	52300000
m23_00_00_00.msb	m23_00_00_00	Item_宝死体01	52	-1	o000632_0023	-1	96.415	-67.908005	-56.75	item_lot_1	2300010	宝死体01	52300010
m23_00_00_00.msb	m23_00_00_00	Item_宝死体02	173	-1	o000632_0015	-1	75.11	-80.33	-25.93	item_lot_1	2300020	宝死体02	52300020
m23_00_00_00.msb	m23_00_00_00	Item_宝死体03	174	-1	o000632_0000	-1	50.09	-82.97	-69.53	item_lot_1	2300030	宝死体03	52300030
m23_00_00_00.msb	m23_00_00_00	Item_宝死体04	175	-1	o000632_0001	-1	45.964	-83.009995	-72.75	item_lot_1	2300040	宝死体04	52300040
m23_00_00_00.msb	m23_00_00_00	Item_宝死体05	176	-1	o000632_0024	-1	36.631	-85.287	-68.324	item_lot_1	2300050	宝死体05	52300050
m23_00_00_00.msb	m23_00_00_00	Item_宝死体06	177	-1	o000632_0016	-1	-52.560997	-100.130005	-89.322	item_lot_1	2300060	宝死体06	52300060
m23_00_00_00.msb	m23_00_00_00	Item_宝死体07	178	-1	o000632_0009	2301600	-42	-93.19	-52.59	item_lot_1	2300070	宝死体07	52300070
m23_00_00_00.msb	m23_00_00_00	Item_宝死体08	179	-1	o000632_0017	-1	52.75	-90.41	-55.96	item_lot_1	2300080	宝死体08	52300080
m23_00_00_00.msb	m23_00_00_00	Item_宝死体09	197	-1	o000611_0003	-1	148.797	-119.51	-67.537	item_lot_1	2300090	宝死体09	52300090
m23_00_00_00.msb	m23_00_00_00	Item_宝死体10	198	-1	o000610_0002	-1	133.26001	-119.26	-77.957	item_lot_1	2300100	宝死体10	52300100
m23_00_00_00.msb	m23_00_00_00	Item_宝死体11	199	-1	o000613_0004	-1	142.32599	-121.23	-97.108	item_lot_1	2300110	宝死体11	52300110
m23_00_00_00.msb	m23_00_00_00	Item_宝死体12	200	-1	o000632_0002	-1	-4.081001	-114.38	0.978	item_lot_1	2300120	宝死体12	52300120
m23_00_00_00.msb	m23_00_00_00	Item_宝死体13	201	-1	o000632_0032	-1	-65.831	-125.965	-5.169	item_lot_1	2300130	宝死体13	52300130
m23_00_00_00.msb	m23_00_00_00	Item_宝死体14	202	-1	o000632_0011	-1	-55.5	-110.13	-15.88	item_lot_1	2300140	宝死体14	52300140
m23_00_00_00.msb	m23_00_00_00	Item_宝死体15	203	-1	o000632_0020	-1	41.002	-105.298	7.158	item_lot_1	2300150	宝死体15	52300150
m23_00_00_00.msb	m23_00_00_00	Item_宝死体16	217	-1	o000632_0018	-1	-39.6	-107.57	-98.99	item_lot_1	2300160	宝死体16	52300160
m23_00_00_00.msb	m23_00_00_00	Item_宝死体18	219	-1	o000632_0010	-1	136.599	-65.024	38.66	item_lot_1	2300180	宝死体18	52300180
m23_00_00_00.msb	m23_00_00_00	Item_宝死体19	222	-1	o000632_0031	-1	46.78	-94.452	14.144	item_lot_1	2300190	宝死体19	52300190
m23_00_00_00.msb	m23_00_00_00	Item_宝死体20	223	-1	o000630_0001	-1	76.699	-90.375	16.295	item_lot_1	2300200	宝死体20	52300200
m23_00_00_00.msb	m23_00_00_00	Item_宝死体21	224	-1	o000632_0021	-1	47.385	-83.208	-84.145	item_lot_1	2300210	宝死体21	52300210
m23_00_00_00.msb	m23_00_00_00	Item_宝死体22	225	-1	o000632_0012	-1	-46.04	-91.42	-70.77	item_lot_1	2300220	宝死体22	52300220
m23_00_00_00.msb	m23_00_00_00	Item_宝死体23	285	-1	o000632_0003	-1	70.124	-82.990005	-72.481	item_lot_1	2300230	宝死体23	52300230
m23_00_00_00.msb	m23_00_00_00	Item_宝死体24	288	-1	o000632_0025	-1	14.544998	-111.216	-40.029	item_lot_1	2300240	宝死体24	52300240
m23_00_00_00.msb	m23_00_00_00	Item_宝死体25	289	-1						item_lot_1	2300250	宝死体25	52300250
m23_00_00_00.msb	m23_00_00_00	Item_宝死体26	290	-1						item_lot_1	2300260	宝死体26	52300260
m23_00_00_00.msb	m23_00_00_00	Item_宝死体27	291	-1						item_lot_1	2300270	宝死体27	52300270
m23_00_00_00.msb	m23_00_00_00	Item_宝死体28	292	-1	o000632_0022	-1	132.48001	-56.138	19.286	item_lot_1	2300280	宝死体28	52300280
m23_00_00_00.msb	m23_00_00_00	Item_宝死体29	33	-1	o000632_0037	-1	70.772	-67.881	43.727	item_lot_1	2300290	宝死体29	52300290
m23_00_00_00.msb	m23_00_00_00	Item_宝死体31	36	-1	o000632_0005	-1	-147.685	-126.38	65.266	item_lot_1	2300310	宝死体31	52300310
m23_00_00_00.msb	m23_00_00_00	Item_宝死体32	37	-1	o000610_0008	-1	5.375999	-113.144	-80.68	item_lot_1	2300320	宝死体32	52300320
m23_00_00_00.msb	m23_00_00_00	Item_宝死体33	40	-1	o000632_0006	-1	-11.834999	-114.843	15.098	item_lot_1	2300330	宝死体33	52300330
m23_00_00_00.msb	m23_00_00_00	Item_宝死体34	43	-1	o000611_0000	-1	52.34	-99.468	13.053	item_lot_1	2300340	宝死体34	52300340
m23_00_00_00.msb	m23_00_00_00	Item_宝死体35	164	-1	o000632_0013	-1	75.345	-75.139	22.725	item_lot_1	2300350	宝死体35	52300350
m23_00_00_00.msb	m23_00_00_00	Item_宝死体36	165	-1	o000632_0014	-1	-40.239998	-85.465	-87.575	item_lot_1	2300360	宝死体36	52300360
