goods_param_id	param_name	normalized_runtime_id	raw_runtime_descriptor	max_num	max_repository_num	is_only_one	is_auto_replenish	mapping_evidence
1	アイテム切替テストA	0x40000001	0xB0000001	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
2	アイテム切替テストb	0x40000002	0xB0000002	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
100	ダークリング	0x40000064	0xB0000064	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
111	別れの空砲	0x4000006F	0xB000006F	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
120	呼び鈴	0x40000078	0xB0000078	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
130	血族ランキング観覧アイテム	0x40000082	0xB0000082	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
131	連盟ランキング観覧アイテム	0x40000083	0xB0000083	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
200	通常協力要請	0x400000C8	0xB00000C8	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
201	通常協力要請_使用不可	0x400000C9	0xB00000C9	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
205	通常協力希望	0x400000CD	0xB00000CD	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
206	通常協力希望_使用不可	0x400000CE	0xB00000CE	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
225	通常侵入希望	0x400000E1	0xB00000E1	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
226	通常侵入希望_使用不可	0x400000E2	0xB00000E2	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
700	ガスコインのオルゴール	0x400002BC	0xB00002BC	1	99	1	0	formula validated by Bullets, Vials, Pebble, and Augur
701	娼婦の血	0x400002BD	0xB00002BD	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
702	囚われの尼僧の血	0x400002BE	0xB00002BE	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
703	女医の薬	0x400002BF	0xB00002BF	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
704	血濡れの赤子	0x400002C0	0xB00002C0	99	99	0	0	formula validated by Bullets, Vials, Pebble, and Augur
705	女王の血	0x400002C1	0xB00002C1	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
706	時計塔女医の血	0x400002C2	0xB00002C2	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
800	前をさす	0x40000320	0xB0000320	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
801	一礼（男／軽い）	0x40000321	0xB0000321	1	0	1	0	formula validated by Bullets, Vials, Pebble, and Augur
