item_lot_id	lot_name	slot	item_category	item_id	item_param_name	normalized_runtime_id	raw_runtime_descriptor	quantity	base_points	slot_acquisition_flag	generic_acquisition_flag	all_acquisition_flags
0	test_param0	01	0	100000				1	100	0	-1	
0	test_param0	02	1	10000				2	50	0	-1	
0	test_param0	03	4	240				99	100	0	-1	
0	test_param0	04	0	101000				1	50	0	-1	
0	test_param0	05	1	11000				2	40	0	-1	
1	騎士テスト_回復薬×1【確定】武器素材	01	4	240				1	100	0	-1	
1	騎士テスト_回復薬×1【確定】武器素材	02	4	240				1	100	0	-1	
1	騎士テスト_回復薬×1【確定】武器素材	03	4	2001				1	300	0	-1	
1	騎士テスト_回復薬×1【確定】武器素材	04	4	240				1	100	0	-1	
1	騎士テスト_回復薬×1【確定】武器素材	05	4	240				1	100	0	-1	
2	シミュレータテスト	02	4	3010	武器強化素材【アンコモン】	0x40000BC2	0xB0000BC2	2	20	0	-1	
2	シミュレータテスト	03	4	3010	武器強化素材【アンコモン】	0x40000BC2	0xB0000BC2	1	30	0	-1	
2	シミュレータテスト	04	4	1013				2	20	0	-1	
2	シミュレータテスト	05	4	1013				1	30	0	-1	
2	シミュレータテスト	06	4	1023				1	50	0	-1	
2	シミュレータテスト	07	4	1001				3	50	0	-1	
2	シミュレータテスト	08	4	1001				1	50	0	-1	
3	運パラメータ有効テスト	02	4	1000	HP回復【PG直接指定】	0x400003E8	0xB00003E8	1	25	0	-1	
3	運パラメータ有効テスト	03	4	1000	HP回復【PG直接指定】	0x400003E8	0xB00003E8	2	25	0	-1	
3	運パラメータ有効テスト	04	4	1000	HP回復【PG直接指定】	0x400003E8	0xB00003E8	3	25	0	-1	
10	敵ドロップ宝テスト	01	4	1000	HP回復【PG直接指定】	0x400003E8	0xB00003E8	2	100	0	-1	
20	ザコ魔石テスト	01	8	20				1	100	0	-1	
30	強敵魔石テスト	01	8	30				1	100	0	-1	
40	ダンジョンフロア専用関数テスト	01	8	20				1	100	0	-1	
5500	血族誓約BJ装着時のマルチPvP報酬（ホスト）	01	4	704	血濡れの赤子	0x400002C0	0xB00002C0	1	100	0	-1	
5510	血族誓約BJ装着時のマルチPvP報酬（ゲスト）	01	4	704	血濡れの赤子	0x400002C0	0xB00002C0	1	100	0	-1	
5520	血族誓約BJ装着時のNPC撃破報酬	01	4	704	血濡れの赤子	0x400002C0	0xB00002C0	1	100	0	-1	
5530	血族誓約BJ装着時のNPC撃破報酬（ダンジョン用）	02	4	704	血濡れの赤子	0x400002C0	0xB00002C0	1	1	0	-1	
5900	連盟のマルチ報酬（自身が連盟ゲストで成功させたとき、自分が得るもの）	01	4	1700	血の淀み	0x400006A4	0xB00006A4	1	100	0	-1	
5920	連盟長のマルチ報酬（自分がゲストで自分が長）	01	4	1700	血の淀み	0x400006A4	0xB00006A4	1	100	0	-1	
5930	連盟長のマルチ報酬（自分がゲストで他ゲストが長、自分がホストで他ゲストが長）	01	4	1700	血の淀み	0x400006A4	0xB00006A4	1	100	0	-1	
10000	拠点の贈り物くれるメッセンジャー1	01	4	120	呼び鈴	0x40000078	0xB0000078	1	100	0	6620	6620
10010	拠点の贈り物くれるメッセンジャー2	01	4	200	通常協力要請	0x400000C8	0xB00000C8	1	100	0	6622	6622
10011	拠点の贈り物くれるメッセンジャー2	01	4	111	別れの空砲	0x4000006F	0xB000006F	1	100	0	6622	6622
10030	「タイプA固定レベル5」ダンジョンで取得	01	4	4304	婚約指輪	0x400010D0	0xB00010D0	1	100	0	50000040	50000040
10040	拠点の贈り物くれるメッセンジャー	01	4	4311	【DLC】邪神投げで聖堂街Dへワープできるアイテム	0x400010D7	0xB00010D7	1	100	0	50000100	50000100
10050	拠点の贈り物くれるメッセンジャー	01	4	4312	【DLC】NPC召喚アイテム	0x400010D8	0xB00010D8	1	100	0	6670	6670
14000	人形のヒロイン_ゆかりの品を渡したときに手に入るアイテム	01	4	4301	人形の涙	0x400010CD	0xB00010CD	1	100	0	-1	
15000	拠点老人（覚醒）_撃破報酬	01	4	4113	ショップ解禁　工房ショップC	0x40001011	0xB0001011	1	100	0	-1	
15005	拠点老人（覚醒）_撃破報酬（前の周で取得済みの場合）	01	4	1400	帰還	0x40000578	0xB0000578	1	100	0	-1	
17000	血族の女王_血族になる契約を結んだときに手に入るアイテム	01	8	200010				1	100	0	50000200	50000200
17001	血族の女王_血族になる契約を結んだときに手に入るアイテム	01	4	4117	ショップ解禁　ヴァンパイア	0x40001015	0xB0001015	1	100	0	50000205	50000205
17002	血族の女王_血族になる契約を結んだときに手に入るアイテム（前の周で取得済みの場合）	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50000210	50000210
17010	血族の女王_ピンク色の肉塊を調べたときに手に入るアイテム	01	4	4305	ピンク色の肉片	0x400010D1	0xB00010D1	1	100	0	-1	
20000	学長_殺害時ドロップアイテム	01	8	100202				1	100	0	50000400	50000400
20001	学長_殺害時ドロップアイテム(差し替え用）	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50000405	50000405
21000	悪夢の主_撃破時ドロップアイテム	01	1	190000				1	100	0	-1	
22000	避難所の盲人_殴ったときに差し出されるアイテム	01	4	1230	石ころ	0x400004CE	0xB00004CE	1	100	0	-1	
22010	避難所の盲人_死亡時ドロップアイテム	01	8	103103				1	100	0	50000600	50000600
22011	避難所の盲人_死亡時ドロップアイテム（差し替え用)	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50000605	50000605
23000	診療所の女医_扉の下からくれるアイテム	01	4	703	女医の薬	0x400002BF	0xB00002BF	1	100	0	-1	
23010	診療所の女医_侵入時に死体から拾えるアイテム	01	4	703	女医の薬	0x400002BF	0xB00002BF	1	100	0	50000700	50000700
24000	偽女医_送り込み時に扉の下からくれるアイテム_偏屈な老人	01	4	1270	HP回復不可	0x400004F6	0xB00004F6	2	100	0	-1	
24010	偽女医_送り込み時に扉の下からくれるアイテム_孤独な老婆	01	4	1270	HP回復不可	0x400004F6	0xB00004F6	2	100	0	-1	
24020	偽女医_送り込み時に扉の下からくれるアイテム_感染者の乞食	01	4	1110	獣化薬	0x40000456	0xB0000456	2	100	0	-1	
24030	偽女医_送り込み時に扉の下からくれるアイテム_囚われの尼僧	01	4	1270	HP回復不可	0x400004F6	0xB00004F6	2	100	0	-1	
24040	偽女医_送り込み時に扉の下からくれるアイテム_娼婦	01	4	1270	HP回復不可	0x400004F6	0xB00004F6	2	100	0	-1	
24050	偽女医_送り込み時に扉の下からくれるアイテム_少女	01	4	2030	ヌルヌル化	0x400007EE	0xB00007EE	2	100	0	-1	
24060	偽女医_同士になったときの特別製のお礼	01	4	1120	石ころ帽子	0x40000460	0xB0000460	3	100	0	-1	
24070	偽女医_死亡時ドロップアイテム	01	8	100702				1	100	0	50000800	50000800
24071	偽女医_死亡時ドロップアイテム(差し替え用）	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50000801	50000801
24075	偽女医_死亡時ドロップアイテム	01	4	4322	3本目のへその緒A	0x400010E2	0xB00010E2	1	100	0	50000805	50000805
25000	偏屈な老人_死亡時ドロップアイテム	01	4	1260	獣誘い	0x400004EC	0xB00004EC	3	100	0	50000900	50000900
26000	孤独な老婆_くれるアイテム_1回目	01	4	1101	狂気・獣化回復薬	0x4000044D	0xB000044D	3	100	0	-1	
26010	孤独な老婆_くれるアイテム_2回目	01	4	1101	狂気・獣化回復薬	0x4000044D	0xB000044D	2	100	0	-1	
26020	孤独な老婆_くれるアイテム_3回目（これをもらうといなくなる）	01	4	1101	狂気・獣化回復薬	0x4000044D	0xB000044D	1	100	0	-1	
26030	孤独な老婆_くれるアイテム_4回目（一度いなくなって戻ってきたとき　これで最後）	01	4	1101	狂気・獣化回復薬	0x4000044D	0xB000044D	1	100	0	-1	
26040	孤独な老婆_死亡時ドロップアイテム	01	4	1101	狂気・獣化回復薬	0x4000044D	0xB000044D	1	100	0	50001000	50001000
27000	感染者の乞食_避難所or診療所を教えたときにくれるお礼	01	4	1260	獣誘い	0x400004EC	0xB00004EC	2	100	0	-1	
27010	感染者の乞食_避難所で再会したときにもらえる秘蔵品	01	4	1110	獣化薬	0x40000456	0xB0000456	2	100	0	-1	
27020	感染者の乞食_避難民を殺したあとにくれるアイテム_偏屈な老人	01	4	1110	獣化薬	0x40000456	0xB0000456	3	100	0	-1	
27030	感染者の乞食_避難民を殺したあとにくれるアイテム_孤独な老婆	01	4	1110	獣化薬	0x40000456	0xB0000456	2	100	0	-1	
27040	感染者の乞食_避難民を殺したあとにくれるアイテム_囚われの尼僧	01	4	1110	獣化薬	0x40000456	0xB0000456	2	100	0	-1	
27050	感染者の乞食_避難民を殺したあとにくれるアイテム_避難所の盲人	01	4	1110	獣化薬	0x40000456	0xB0000456	3	100	0	-1	
27060	感染者の乞食_避難民を殺したあとにくれるアイテム_娼婦	01	4	1110	獣化薬	0x40000456	0xB0000456	2	100	0	-1	
27070	感染者の乞食_死亡時ドロップアイテム	01	8	102402				1	100	0	50001100	50001100
27071	感染者の乞食_死亡時ドロップアイテム（前の周で取得時）	01	4	1500	SAN値回復＋1	0x400005DC	0xB00005DC	1	100	0	50001105	50001105
28000	娼婦_避難所での血の施し	01	4	701	娼婦の血	0x400002BD	0xB00002BD	1	100	0	-1	
28010	娼婦_死亡時ドロップアイテム	01	1	313000				1	100	0	50001200	50001200
28020	娼婦_死亡時ドロップアイテム_妊娠中	01	1	313000				1	100	0	50001200	50001200
28030	娼婦_死亡時ドロップアイテム_出産後	01	1	313000				1	100	0	50001200	50001200
