npc_param_id	npc_name	drop_field	item_lot_id	lot_name	lot_present	lot_acquisition_flags
10	宝ドロップテスト（死体発光）	itemLotId_1	10	敵ドロップ宝テスト	True	
11	宝ドロップテスト（ドロップアイテム）	itemLotId_1	10	敵ドロップ宝テスト	True	
12	宝ドロップテスト（アイテムドロップ補正テスト）	itemLotId_1	9906550	アイテムドロップ補正テスト	True	
210	SP　群衆B（大）（レンガ）　アクションテスト用	itemLotId_1	9985300		False	
6070	ニセ女医	itemLotId_1	24070	偽女医_死亡時ドロップアイテム	True	50000800
6071	ニセ女医（発狂）	itemLotId_1	24075	偽女医_死亡時ドロップアイテム	True	50000805
6080	偏屈な老人	itemLotId_1	25000	偏屈な老人_死亡時ドロップアイテム	True	50000900
6090	孤独な老婆	itemLotId_1	26040	孤独な老婆_死亡時ドロップアイテム	True	50001000
6100	感染者の乞食	itemLotId_1	27070	感染者の乞食_死亡時ドロップアイテム	True	50001100
6110	娼婦（避難所）	itemLotId_1	28010	娼婦_死亡時ドロップアイテム	True	50001200
6111	娼婦（妊娠LV1）	itemLotId_1	28010	娼婦_死亡時ドロップアイテム	True	50001200
6112	娼婦（妊娠LV2 お腹大きい）	itemLotId_1	28010	娼婦_死亡時ドロップアイテム	True	50001200
6113	娼婦（出産後 狂気）	itemLotId_1	28010	娼婦_死亡時ドロップアイテム	True	50001200
6140	囚われの尼僧（初回生贄）	itemLotId_1	32030	囚われの尼僧_死亡時ドロップアイテム	True	50001610
6141	囚われの尼僧（避難所）	itemLotId_1	32030	囚われの尼僧_死亡時ドロップアイテム	True	50001610
6142	囚われの尼僧（狂気）	itemLotId_1	32030	囚われの尼僧_死亡時ドロップアイテム	True	50001610
6143	囚われの尼僧（避難所/娼婦殺害）	itemLotId_1	32030	囚われの尼僧_死亡時ドロップアイテム	True	50001610
6144	囚われの尼僧（狂気/娼婦殺害）	itemLotId_1	32030	囚われの尼僧_死亡時ドロップアイテム	True	50001610
6150	血族狩り（車輪）	itemLotId_1	34040	血族狩り_死亡時ドロップアイテム_古城	True	50001820
6151	血族狩り（剣槌）_移動後	itemLotId_1	34030	血族狩り_死亡時ドロップアイテム_移動後その1	True	50001800
