key	name	region	location_flag	item_lot_id	item_category	item_id	classification	source_kind	source_ref	vanilla_award_suppressed
fixed_white_messenger_ribbon	Central Yharnam - White Messenger Ribbon	Central Yharnam	50002200	42000	4	4903	key_or_badge	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_saw_spear	Central Yharnam - Saw Spear	Central Yharnam	52410100	2410100	0	7100000	useful	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410110	Central Yharnam - Blood Stone Shard x2	Central Yharnam	52410110	2410110	4	3000	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410120	Central Yharnam - Blood Vial x2 #1	Central Yharnam	52410120	2410120	4	1000	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410130	Central Yharnam - Coldblood Dew (1) #1	Central Yharnam	52410130	2410130	4	1510	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410140	Iosefka's Clinic - Madman's Knowledge (corpse)	Central Yharnam	52410140	2410140	4	1500	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410150	Central Yharnam - Coldblood Dew (1) #2	Central Yharnam	52410150	2410150	4	1510	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410160	Central Yharnam - Pebble x8	Central Yharnam	52410160	2410160	4	1230	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410170	Central Yharnam - Blood Stone Shard #1	Central Yharnam	52410170	2410170	4	3000	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410180	Central Yharnam - Blood Stone Shard #2	Central Yharnam	52410180	2410180	4	3000	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410190	Central Yharnam - Blood Vial x2 #2	Central Yharnam	52410190	2410190	4	1000	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410200	Central Yharnam - Molotov Cocktail x4 #1	Central Yharnam	52410200	2410200	4	1200	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410210	Central Yharnam - Blood Stone Shard #3	Central Yharnam	52410210	2410210	4	3000	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410220	Central Yharnam - Pungent Blood Cocktail x2	Central Yharnam	52410220	2410220	4	1260	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410240	Central Yharnam - Coldblood Dew (3)	Central Yharnam	52410240	2410240	4	1512	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410250	Central Yharnam - Madman's Knowledge #1	Central Yharnam	52410250	2410250	4	1500	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410260	Central Yharnam - Coldblood Dew (1) #3	Central Yharnam	52410260	2410260	4	1510	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410270	Central Yharnam - Quicksilver Bullets x10 #1	Central Yharnam	52410270	2410270	4	900	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410280	Central Yharnam - Coldblood Dew (2)	Central Yharnam	52410280	2410280	4	1511	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_saw_hunter_badge	Central Yharnam - Saw Hunter Badge	Central Yharnam	52410290	2410290	4	4110	key_or_badge	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410295	Central Yharnam - Bold Hunter's Mark	Central Yharnam	52410295	2410295	4	1400	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410310	Central Yharnam - Pebble x10	Central Yharnam	52410310	2410310	4	1230	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410330	Central Yharnam - Blood Stone Shard #4	Central Yharnam	52410330	2410330	4	3000	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410340	Central Yharnam - Blood Vial x4	Central Yharnam	52410340	2410340	4	1000	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410360	Central Yharnam - Blood Vial x2 #3	Central Yharnam	52410360	2410360	4	1000	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410370	Central Yharnam - Oil Urn x2 #1	Central Yharnam	52410370	2410370	4	1220	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410380	Central Yharnam - Blood Vial x2 #4	Central Yharnam	52410380	2410380	4	1000	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410390	Central Yharnam - Blood Vial x6	Central Yharnam	52410390	2410390	4	1000	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410400	Central Yharnam - Blood Stone Shard #5	Central Yharnam	52410400	2410400	4	3000	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410430	Central Yharnam - Quicksilver Bullets x10 #2	Central Yharnam	52410430	2410430	4	900	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410440	Central Yharnam - Coldblood Dew (1) #4	Central Yharnam	52410440	2410440	4	1510	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410450	Central Yharnam - Coldblood Dew (1) #5	Central Yharnam	52410450	2410450	4	1510	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410470	Central Yharnam - Oil Urn x2 #2	Central Yharnam	52410470	2410470	4	1220	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
fixed_central_yharnam_lot_2410480	Central Yharnam - Madman's Knowledge #2	Central Yharnam	52410480	2410480	4	1500	filler	treasure	m24_01_00_00;m24_01_00_01;m24_01_00_11	True
