location_flag	region	name	basis
50002200	Central Yharnam	Central Yharnam - White Messenger Ribbon	published (fixed_locations.tsv)
50002360	Underground Corpse Pile	Underground Corpse Pile - Underground Cell Inner Chamber Key	event tag 宝死体_地下牢の鍵
52110000	Healing Church Workshop	Abandoned Old Workshop - Old Hunter Bone (grave)	published (data.py treasure_old_hunter_bone); map m21_01 grave pickup
52110010	Healing Church Workshop	Healing Church Workshop - Gehrman's Hunter Cap (Abandoned Old Workshop)	map m21_01 is the workshop replica; event tag 宝01
52110020	Healing Church Workshop	Abandoned Old Workshop - Doll Set Chest	map m21_01 chest ObjAct 2111000; ItemLot family 2110020..2110023
52110800	Healing Church Workshop	Abandoned Old Workshop - Small Hair Ornament (cabinet)	EMEVD event 12110300; AwardItemLot 2110800
52110810	Healing Church Workshop	Abandoned Old Workshop - One Third of Umbilical Cord (altar)	EMEVD event 12110301; AwardItemLot 2110810
52200360	Hemwick Charnel Lane	Hemwick Charnel Lane - Rune Workshop Tool	published (data.py treasure_rune_workshop_tool)
52300070	Old Yharnam	Old Yharnam - Bloody Messenger Head Bandage	map m23_00
52300200	Old Yharnam	Old Yharnam - Hunter's Torch	map m23_00
52300390	Old Yharnam	Old Yharnam - Rifle Spear	map m23_00
52300400	Old Yharnam	Old Yharnam - Charred Hunter Garb	map m23_00
52400120	Cathedral Ward	Cathedral Ward - Top Hat (small plaza)	event tag A小広場邪神
52400270	Cathedral Ward	Cathedral Ward - Black Messenger Hat (rooftop)	event tag A屋根の上
52400290	Cathedral Ward	Cathedral Ward - Black Church Hat (back alley)	event tag A裏路地
52400450	Cathedral Ward	Cathedral Ward - Hunter Chief Emblem (plaza entrance)	event tag A広場入口脇
52400480	Cathedral Ward	Cathedral Ward - Radiant Sword Hunter Badge (Grand Cathedral approach chest)	published (data.py treasure_radiant_sword_hunter_badge); event tag C_接続塔_終点; hint from lot tag 聖C前 (m24_00_00_00); hint from MSB in_chest
52410100	Central Yharnam	Central Yharnam - Saw Spear (Dry Dock hanging corpse)	published (fixed_locations.tsv); exact item/area unique match to Bloodborne Wiki Central Yharnam treasure table and Saw Spear page; ledger flag 52410100
52410290	Central Yharnam	Central Yharnam - Saw Hunter Badge (Maneater Boar tunnel)	published (fixed_locations.tsv); exact item/area unique match to Bloodborne Wiki Central Yharnam treasure table and Saw Hunter Badge page; ledger flag 52410290
52410520	Central Yharnam	Central Yharnam - Torch (Plaza gate)	published (fixed_locations.tsv); exact item/area unique match to Bloodborne Wiki Central Yharnam treasure table; ledger flag 52410520
